mm,mp,t,p,c,y6
534.4,525,308,12,768,9
534.4,525,308,15,816,12.8
534.4,525,308,18,848,18.6
534.4,525,308,21,874,21.2
534.4,525,308,24,896,24.5
534.4,525,308,27,914,33.5
534.4,525,308,30,930,37.8
534.4,525,308,33,944,41.4
534.4,525,318,12,660,6.7
534.4,525,318,15,743,10.3
534.4,525,318,18,790,13.8
534.4,525,318,21,824,28.6
534.4,525,318,24,850,34.8
534.4,525,318,27,872,37.1
534.4,525,318,30,891,41.7
534.4,525,318,33,907,45.6
534.4,525,328,12,506,4.5
534.4,525,328,15,654,12.6
534.4,525,328,18,724,20.3
534.4,525,328,21,769,34.8
534.4,525,328,24,802,37.8
534.4,525,328,27,829,47.8
534.4,525,328,30,851,53.7
534.4,525,328,33,870,55.6
534.4,525,338,12,384,8.3
534.4,525,338,15,555,13.7
534.4,525,338,18,651,27.9
534.4,525,338,21,710,43.5
534.4,525,338,24,751,64.2
534.4,525,338,27,783,70.5
534.4,525,338,30,810,73.4
534.4,525,338,33,831,76.7
277.263,526,308,12,769,5.1
277.263,526,308,15,817,6.4
277.263,526,308,18,849,6.7
277.263,526,308,21,875,7.4
277.263,526,308,24,896,8.1
277.263,526,308,27,914,8.6
277.263,526,318,12,661,4
277.263,526,318,15,744,7.1
277.263,526,318,18,791,7.7
277.263,526,318,21,824,9.4
277.263,526,318,24,851,11.2
277.263,526,318,27,872,12.5
277.263,526,328,12,509,3.4
277.263,526,328,15,656,8.1
277.263,526,328,18,725,9.6
277.263,526,328,21,769,11.9
277.263,526,328,24,802,13.4
277.263,526,328,27,829,15.6
277.263,526,338,12,388,2.7
277.263,526,338,15,557,9
277.263,526,338,18,652,12
277.263,526,338,21,710,15
277.263,526,338,24,751,17.1
277.263,526,338,27,783,18.3
359.35,362,308,15.2,818,7.6
359.35,362,308,18.2,850,11.8
359.35,362,308,21.2,876,14.6
359.35,362,308,24.3,897,19.6
359.35,362,308,27.3,916,22.2
359.35,362,308,30.4,931,24.9
359.35,362,308,33.4,946,28.5
359.35,362,308,35.4,955,30.2
359.35,362,318,15.2,745,8.4
359.35,362,318,18.2,792,13.8
359.35,362,318,21.2,826,21.2
359.35,362,318,24.3,852,27.2
359.35,362,318,27.3,875,37.3
359.35,362,318,30.4,893,41.8
359.35,362,318,33.4,910,51.4
359.35,362,318,35.4,919,57.1
359.35,362,328,15.2,657,3.7
359.35,362,328,18.2,726,12.5
359.35,362,328,21.2,771,22.8
359.35,362,328,24.3,804,33.5
359.35,362,328,27.3,831,44.9
359.35,362,328,30.4,853,57
359.35,362,328,33.4,872,73.8
359.35,362,328,35.4,884,84.2
359.35,362,338,15.2,561,2.7
359.35,362,338,18.2,654,9.5
359.35,362,338,21.2,712,23.3
359.35,362,338,24.3,754,38.3
359.35,362,338,27.3,786,47.5
359.35,362,338,30.4,812,77.5
359.35,362,338,33.4,834,100
359.35,362,338,35.4,848,123
359.35,362,348,15.2,477,3.2
359.35,362,348,18.2,585,9
359.35,362,348,21.2,652,19.7
359.35,362,348,24.3,702,33
359.35,362,348,27.3,740,50.5
359.35,362,348,30.4,772,83.8
359.35,362,348,33.4,796,118
359.35,362,348,35.4,811,159
807.87,462,308,15.2,818,37
807.87,462,308,18.2,850,53
807.87,462,308,21.2,876,58
807.87,462,308,24.3,897,62
807.87,462,308,27.3,916,66
807.87,462,308,30.4,931,68
807.87,462,308,33.4,946,71
807.87,462,308,35.4,955,72
807.87,462,318,15.2,745,84
807.87,462,318,18.2,792,79
807.87,462,318,21.2,826,93
807.87,462,318,24.3,852,103
807.87,462,318,27.3,875,114
807.87,462,318,30.4,893,121
807.87,462,318,33.4,910,128
807.87,462,318,35.4,919,153
807.87,462,328,15.2,657,66
807.87,462,328,18.2,726,103
807.87,462,328,21.2,771,134
807.87,462,328,24.3,804,159
807.87,462,328,27.3,831,196
807.87,462,328,30.4,853,214
807.87,462,328,33.4,872,230
807.87,462,328,35.4,884,284
807.87,462,338,15.2,561,113
807.87,462,338,18.2,654,121
807.87,462,338,21.2,712,177
807.87,462,338,24.3,754,244
807.87,462,338,27.3,786,335
807.87,462,338,30.4,812,372
807.87,462,338,33.4,834,406
807.87,462,338,35.4,848,503
807.87,462,348,15.2,477,62
807.87,462,348,18.2,585,139
807.87,462,348,21.2,652,221
807.87,462,348,24.3,702,323
807.87,462,348,27.3,740,452
807.87,462,348,30.4,772,531
807.87,462,348,33.4,796,668
807.87,462,348,35.4,811,702
295.73,615.9,308,13,786.89,4.88
295.73,615.9,308,17,838.96,5.97
295.73,615.9,308,21,874.4,6.61
295.73,615.9,308,25,901.87,7.41
295.73,615.9,308,29,924.56,7.61
295.73,615.9,318,13,695.25,4.66
295.73,615.9,318,17,776.53,6.28
295.73,615.9,318,21,823.71,7.21
295.73,615.9,318,25,857.82,7.9
295.73,615.9,318,29,884.91,8.18
295.73,615.9,328,13,573.33,4.8
295.73,615.9,328,17,704.97,6.2
295.73,615.9,328,21,768.74,7.95
295.73,615.9,328,25,811.37,8.47
295.73,615.9,328,29,843.77,9.19
295.73,615.9,338,13,449.02,4.17
295.73,615.9,338,17,625.09,6.41
295.73,615.9,338,21,709.69,8.51
295.73,615.9,338,25,762.69,9.11
295.73,615.9,338,29,801.33,10.1
450.3,470.15,308,12,769,4.83
450.3,470.15,308,15,817,5.15
450.3,470.15,308,18,849,5.56
450.3,470.15,308,21,875,6.86
450.3,470.15,308,24,896,7.3
450.3,470.15,308,27,914,7.91
450.3,470.15,318,12,661,3.15
450.3,470.15,318,15,744,5.66
450.3,470.15,318,18,791,6.5
450.3,470.15,318,21,824,7.99
450.3,470.15,318,24,851,8.99
450.3,470.15,318,27,872,9.58
450.3,470.15,328,12,509,2.6
450.3,470.15,328,15,656,6.29
450.3,470.15,328,18,725,7.49
450.3,470.15,328,21,769,9.18
450.3,470.15,328,24,802,9.95
450.3,470.15,328,27,829,10.57
450.3,470.15,338,12,388,1.56
450.3,470.15,338,15,557,6.75
450.3,470.15,338,18,652,8.7
450.3,470.15,338,21,710,9.93
450.3,470.15,338,24,751,10.83
450.3,470.15,338,27,783,12.19
429.9,511.2,308,12,768.42,3.72
429.9,511.2,308,15,816.06,4.95
429.9,511.2,308,18,848.87,7.34
429.9,511.2,308,21,874.4,8.94
429.9,511.2,308,24,895.54,10.49
429.9,511.2,308,27,913.69,12.04
429.9,511.2,308,30,929.68,14.19
429.9,511.2,318,12,659.73,2.5
429.9,511.2,318,15,743.17,4.07
429.9,511.2,318,18,790.18,5.74
429.9,511.2,318,21,823.7,9.07
429.9,511.2,318,24,850.1,12.31
429.9,511.2,318,27,872,14.78
429.9,511.2,318,30,890.9,17.16
429.9,511.2,328,12,506.85,1.5
429.9,511.2,328,15,654.94,2.74
429.9,511.2,328,18,724.13,5.2
429.9,511.2,328,21,768.74,8.96
429.9,511.2,328,24,801.92,13.17
429.9,511.2,328,27,828.51,15.28
429.9,511.2,328,30,850.83,19.06
429.9,511.2,338,12,384.17,1.2
429.9,511.2,338,15,555.23,2.19
